ELECTRAS TECHNOLOGIES PTE LTD	1
ORBIS TRADING PTE. LTD.	1
TECHNODEX BHD	0
MONDIAL TRADING CO. PTE. LTD.	1
KANGER INTERNATIONAL BERHAD	0
FOCUS DYNAMICS GROUP BERHAD	0
ASIA POLY HOLDINGS BERHAD	0
MEGGITT TRAINING SYSTEMS PTE. LTD.	1
SOON TECK CREDIT CORPORATION (MALAYSIA) BERHAD	1
GREAT ELECTRICAL ENTERPRISE PRIVATE LIMITED	1
CRIMSON OUTDOORS PTE. LTD.	1
INDOBEST INTERNATIONAL PTE LTD	1
SCC HOLDINGS BERHAD	0
PRIVASIA TECHNOLOGY BERHAD	0
QUANTUM PROJECT & TRADING LLP	1
AMPCO MEAT GROUP PTE. LTD.	1
SIN HONG ANN TRADING PTE LTD	1
DESOL PTE. LTD.	1
TWT EQUITY PTE. LTD.	1
PLASTRADE TECHNOLOGY BERHAD	0
AT SYSTEMATIZATION BERHAD	0
FIRSTWAY (FAR EAST) PTE LTD	1
STEAMSHIP P&I MANAGEMENT (SINGAPORE) PTE. LTD.	1
SOLUTION ENGINEERING HOLDINGS BERHAD	0
KATONG FLOWERSHOP (PTE.) LTD.	1
PRIMA BUSINESS SYSTEMS PTE LTD	1
WINTONI GROUP BERHAD	0
NETX HOLDINGS BERHAD	0
Industrial and Commercial Bank of China (Asia) Limited	0
FREIGHT LINKS CAPITAL INTERNATIONAL PTE. LTD.	1
BIOALPHA HOLDINGS BERHAD	0
ADVANCE INFORMATION MARKETING BERHAD	0
STEAMSHIP P&I MANAGEMENT (SINGAPORE) PTE. LTD.	1
M N C WIRELESS BERHAD	0
GOWHERESCUBA.COM PTE. LTD.	1
CML GLOBAL SOLUTIONS PTE. LTD.	1
FENG LIN INTERIOR PTE. LTD.	1
TFP SOLUTIONS BERHAD	0
OPCOM HOLDINGS BERHAD	0
EVERSAFE RUBBER BERHAD	0
KEY ALLIANCE GROUP BERHAD	0
ELECTRAS TECHNOLOGIES PTE LTD	1
INVEST HEALTHCARE PTE. LTD.	1
SLOW FOOD ESTATE PTE. LTD.	1
REDTONE INTERNATIONAL BERHAD	0
JOBSQUARE PTE. LTD.	1
ORBIS TRADING PTE. LTD.	1
GROWTH VESSELS PTE LTD	1
SCHELL SEA PTE. LTD.	1
SIN HONG ANN TRADING PTE LTD	1
SCC HOLDINGS BERHAD	0
STERLING PROGRESS BERHAD	0
APEC CHINA BEIJING INVESTMENT PTE. LTD.	1
W CAPITAL MARKETS PTE. LTD.	1
FIRSTWAY (FAR EAST) PTE LTD	1
GFM SERVICES BERHAD	0
AVER ASIA CORPORATION PTE. LTD.	1
AZIZA SILK HOUSE PTE. LTD.	1
AMPCO MEAT GROUP PTE. LTD.	1
WTWO MARKETING PTE. LTD.	1
OPCOM HOLDINGS BERHAD	0
D & S INTERIOR CONSTRUCTION PTE. LTD.	1
DYNAMIC ELECTRONICS TRADING PTE. LTD.	1
INDUSTRIAL & MARINE APPLICATIO NS PTE LTD	1
REVENUE GROUP BERHAD	0
TFP SOLUTIONS BERHAD	0
BIOALPHA HOLDINGS BERHAD	0
KOBY PTE. LTD.	1
SANICHI TECHNOLOGY BERHAD	0
SANKARI ENTERPRISE PTE. LTD.	1
CLH (51) PTE. LTD.	1
PASUKHAS GROUP BERHAD	0
CHANGI LIFE STYLE PTE. LTD.	1
M N C WIRELESS BERHAD	0
KINGFISHER BOOKS PTE. LTD.	1
NETX HOLDINGS BERHAD	0
GARLAND DESIGN ASSOCIATES PTE LTD	1
PASSION WAVE PTE. LTD.	1
ANCOM LOGISTICS BERHAD	0
VISDYNAMICS HOLDINGS BERHAD	0
JHM CONSOLIDATION BERHAD	0
NOVA MSC BERHAD	0
TAKENAKA SINGAPORE PTE LTD	1
STELUX Holdings International Limited	0
LAMBO GROUP BERHAD	0
ENCAD ASIA PTE. LTD.	1
XINGHE HOLDINGS BERHAD	0
OCEAN SEAFOOD (TOH YI) PTE. LTD.	1
BRYAN TEO PTE. LTD.	1
HENG DE PTE. LTD.	1
SYSTECH BHD	0
CHANGI LIFE STYLE PTE. LTD.	1
The Hong Kong Building and Loan Agency Limited	0
PUC BERHAD	0
MLABS SYSTEMS BERHAD	0
Industrial and Commercial Bank of China (Asia) Limited	0
QES GROUP BERHAD	0
WTWO MARKETING PTE. LTD.	1
FENG LIN INTERIOR PTE. LTD.	1
PASSION WAVE PTE. LTD.	1
MONDIAL TRADING CO. PTE. LTD.	1
SAMSUNG ASIA PTE. LTD.	1
OPCOM HOLDINGS BERHAD	0
AMPCO MEAT GROUP PTE. LTD.	1
ONG YAN LEONG INVESTMENT PTE LTD	1
Hong Kong Ferry (Holdings) Company Limited	0
VINNELL SINGAPORE PRIVATE LIMI TED	1
PRIVASIA TECHNOLOGY BERHAD	0
GLOBAL EDUCATION RESOURCES DEVELOPMENT PTE. LTD.	1
PRIVASIA TECHNOLOGY BERHAD	0
MEXTER TECHNOLOGY BERHAD	0
BLOCKCHAIN SYNERGY PTE. LTD.	1
JOBSQUARE PTE. LTD.	1
TEX CYCLE TECHNOLOGY (M) BERHAD	0
ORION IXL BERHAD	0
SCH GROUP BERHAD	0
PETERLABS HOLDINGS BERHAD	0
PERAK TRANSIT BERHAD	0
AEROSPACE COMPONENT ENGINEERING SERVICES PTE. LIMITED	1
INTEGRITY DISTRIBUTION PTE LTD	1
DONG-SHENG WOODWORKS PTE LTD	1
SECUREMETRIC BERHAD	0
RUBBERMAID ASIA PACIFIC	1
COINPREDIX PTE. LTD.	1
ENCAD ASIA PTE. LTD.	1
LAOS VENTURE PTE. LTD.	1
EA HOLDINGS BERHAD	0
DONG-SHENG WOODWORKS PTE LTD	1
VINNELL SINGAPORE PRIVATE LIMI TED	1
JHM CONSOLIDATION BERHAD	0
INDOBEST INTERNATIONAL PTE LTD	1
VORTEX CONSOLIDATED BERHAD	0
ORBIS TRADING PTE. LTD.	1
YHF ENGINEERING PTE. LTD.	1
ANG WOO LIONG HOLDINGS (PRIVATE) LIMITED	1
AZIZA SILK HOUSE PTE. LTD.	1
SEDANIA INNOVATOR BERHAD	0
MEGGITT TRAINING SYSTEMS PTE. LTD.	1
D & S INTERIOR CONSTRUCTION PTE. LTD.	1
MIKRO MSC BERHAD	0
PASUKHAS GROUP BERHAD	0
CHUANG SHEW TECK & SONS (PRIVATE) LIMITED	1
OSK VENTURES INTERNATIONAL BERHAD	0
China Merchants China Direct Investments Limited	0
PRIVASIA TECHNOLOGY BERHAD	0
MOUNTAINTOP NATURAL PRODUCTS PTE LTD	1
GENETEC TECHNOLOGY BERHAD	0
DGB ASIA BERHAD	0
STRAITS INTER LOGISTICS BERHAD	0
ADVANCE INFORMATION MARKETING BERHAD	0
GYG LOGISTICS PTE. LTD.	1
GENETEC TECHNOLOGY BERHAD	0
INTERNATIONAL KING SAUSAGE (SINGAPORE) PTE LTD	1
CAPITAL HARVEST PTE. LTD.	1
MQ TECHNOLOGY BERHAD	0
INNITY CORPORATION BERHAD	0
MONDIAL TRADING CO. PTE. LTD.	1
DONG-SHENG WOODWORKS PTE LTD	1
Hi Sun Technology (China) Limited	0
TRAVEL PASS PTE. LTD	1
GOWHERESCUBA.COM PTE. LTD.	1
IRIS CORPORATION BERHAD	0
GARLAND DESIGN ASSOCIATES PTE LTD	1
SECUREMETRIC BERHAD	0
YGL CONVERGENCE BERHAD	0
KEY ALLIANCE GROUP BERHAD	0
KINGFISHER BOOKS PTE. LTD.	1
HENG SEA COAL PTE LTD	1
CONNECTCOUNTY HOLDINGS BERHAD	0
DIVERSIFIED GATEWAY SOLUTIONS BERHAD	0
PETERLABS HOLDINGS BERHAD	0
GLOBAL EDUCATION RESOURCES DEVELOPMENT PTE. LTD.	1
BAN LEE SENG COMPANY LIMITED	1
BIOALPHA HOLDINGS BERHAD	0
RENERGY GLOBAL PTE. LTD.	1
BINASAT COMMUNICATIONS BERHAD	0
BLOCKCHAIN SYNERGY PTE. LTD.	1
KANGER INTERNATIONAL BERHAD	0
SMTRACK BERHAD	0
NETX HOLDINGS BERHAD	0
SOLUTION ENGINEERING HOLDINGS BERHAD	0
ARIA INTERNATIONAL PTE LTD.	1
China Merchants China Direct Investments Limited	0
FIRSTWAY (FAR EAST) PTE LTD	1
RENERGY GLOBAL PTE. LTD.	1
MEGA SUN CITY HOLDINGS BERHAD	0
HLT GLOBAL BERHAD	0
KANGER INTERNATIONAL BERHAD	0
NOVA MSC BERHAD	0
KEY ALLIANCE GROUP BERHAD	0
COHEN CAPITAL PTE. LTD.	1
ART PANEL PTE. LTD.	1
ORBIS TRADING PTE. LTD.	1
ELTANIN SERVICES PTE. LTD.	1
FOCUS DYNAMICS GROUP BERHAD	0
LAMBO GROUP BERHAD	0
HAN KANG TRAVEL SERVICE PTE. LTD.	1
AEMULUS HOLDINGS BERHAD	0
GA BUBS LLP	1
LEEDS CONSULTANCY AND SERVICES PRIVATE LIMITED	1
LOW BOH TAN AND COMPANY LTD	1
EDUSPEC HOLDINGS BERHAD	0
STERLING PROGRESS BERHAD	0
Industrial and Commercial Bank of China (Asia) Limited	0
STIRLING MOVERS PTE. LTD.	1
BINASAT COMMUNICATIONS BERHAD	0
SING TAT ENGINEERING & STEEL PTE. LTD.	1
CAREPLUS GROUP BERHAD	0
ONMAGO SINGAPORE PTE. LTD.	1
SCHELL SEA PTE. LTD.	1
PASSION WAVE PTE. LTD.	1
SUNZEN BIOTECH BERHAD	0
ADVANCE INFORMATION MARKETING BERHAD	0
ASIABRIDGE PTE LTD	1
OPCOM HOLDINGS BERHAD	0
ADVENTURE TOUR PTE. LTD.	1
BAN LEE SENG COMPANY LIMITED	1
AHVC SPORTS & CARDIOLOGY CENTRE PTE. LTD.	1
SANICHI TECHNOLOGY BERHAD	0
GREAT ELECTRICAL ENTERPRISE PRIVATE LIMITED	1
KC PUBLICATIONS (ASIA) PTE. LTD.	1
SPARKLING ABS INTERNATIONAL RESOURCE PTE. LTD.	1
ANCOM LOGISTICS BERHAD	0
JUSTCOMZ (INTERNATIONAL) PTE. LTD.	1
STERLING PROGRESS BERHAD	0
JHM CONSOLIDATION BERHAD	0
KANGER INTERNATIONAL BERHAD	0
YBS INTERNATIONAL BERHAD	0
COINPREDIX PTE. LTD.	1
AT SYSTEMATIZATION BERHAD	0
JAG BERHAD	0
SERSOL BERHAD	0
JAG BERHAD	0
SC ESTATE BUILDER BERHAD	0
GARLAND DESIGN ASSOCIATES PTE LTD	1
SINGAPORE CASTI INTERNATIONAL HOLDINGS PTE. LTD.	1
INVEST HEALTHCARE PTE. LTD.	1
NEW SILKROUTE PTE. LTD.	1
OPENSYS (M) BERHAD	0
REGENT CORP-WERKZ PTE. LTD.	1
JOBSQUARE PTE. LTD.	1
VSOLAR GROUP BERHAD	0
JUSHINJUNG SAMGAETANG PTE. LTD.	1
SINGANAM INVESTMENT PTE. LTD.	1
JOBSQUARE PTE. LTD.	1
WOODPULP MEDIA PTE. LTD.	1
G & M INTERIOR FURNISHING PTE LTD	1
Greentown China Holdings Limited	0
Greentown China Holdings Limited	0
CHUANG SHEW TECK & SONS (PRIVATE) LIMITED	1
SERSOL BERHAD	0
GOLDEN MULTIMEDIA HOLDINGS PTE. LTD.	1
HITANSH GLOBAL VISCOSCE PRIVATE LIMITED	1
AT SYSTEMATIZATION BERHAD	0
SUM YI TAI PTE. LTD.	1
GLOBAL EDUCATION RESOURCES DEVELOPMENT PTE. LTD.	1
LEEDS CONSULTANCY AND SERVICES PRIVATE LIMITED	1
SCOPE INDUSTRIES BERHAD	0
QUANTA SYSTEMS PTE. LTD.	1
STUDENTS NETWORK SERVICES PTE LTD	1
ITHACA MANAGEMENT PTE. LTD.	1
HAN KANG TRAVEL SERVICE PTE. LTD.	1
KATONG FLOWERSHOP (PTE.) LTD.	1
MAGDEL SERVICES PTE LTD	1
MICROLINK SOLUTIONS BERHAD	0
SPARKLING ABS INTERNATIONAL RESOURCE PTE. LTD.	1
ARIA INTERNATIONAL PTE LTD.	1
PETRA INVESTMENTS PTE. LTD.	1
OVERSEA ENTERPRISE BERHAD	0
BRYAN TEO PTE. LTD.	1
CHANGI LIFE STYLE PTE. LTD.	1
CHUANG SHEW TECK & SONS (PRIVATE) LIMITED	1
MAGDEL SERVICES PTE LTD	1
DGB ASIA BERHAD	0
PLASTRADE TECHNOLOGY BERHAD	0
COHEN CAPITAL PTE. LTD.	1
APAC EXPO PTE. LTD.	1
REV ASIA BERHAD	0
SCC HOLDINGS BERHAD	0
QUANTA SYSTEMS PTE. LTD.	1
OPCOM HOLDINGS BERHAD	0
VSOLAR GROUP BERHAD	0
U COMPUTING PTE. LTD.	1
NOVA MSC BERHAD	0
MATANG BERHAD	0
ORION CONSULTING INTERNATIONAL PTE LTD	1
RECIPES ORIGIN PTE. LTD.	1
PLASTRADE TECHNOLOGY BERHAD	0
PROJECT SAFETY SOLUTIONS PTE. LTD.	1
SINVILLE OCEAN PTE. LTD.	1
PDL SOLUTIONS (ASIA) PTE. LTD.	1
ENCAD ASIA PTE. LTD.	1
VIRALLY MEDIA LLP	1
RUBBERMAID ASIA PACIFIC	1
BIOALPHA HOLDINGS BERHAD	0
K-ONE TECHNOLOGY BERHAD	0
Beijing Development (Hong Kong) Limited	0
AZIZA SILK HOUSE PTE. LTD.	1
YBS INTERNATIONAL BERHAD	0
INIX TECHNOLOGIES HOLDINGS BERHAD	0
MATANG BERHAD	0